Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,MYLK4,MYLK4,63,1000
MEL-0495(R)Pharmaron-2nd Batch,MYO3A,MYO3A,15,1000
MEL-0495(R)Pharmaron-2nd Batch,MYO3B,MYO3B,5,1000
MEL-0495(R)Pharmaron-2nd Batch,NDR1,STK38,26,1000
MEL-0495(R)Pharmaron-2nd Batch,NDR2,STK38L,23,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK1,NEK1,81,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK10,NEK10,45,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK11,NEK11,0,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK2,NEK2,28,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK3,NEK3,10,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK4,NEK4,0,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK5,NEK5,20,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK6,NEK6,28,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK7,NEK7,3,1000
MEL-0495(R)Pharmaron-2nd Batch,NEK9,NEK9,19,1000
MEL-0495(R)Pharmaron-2nd Batch,NIK,MAP3K14,47,1000
MEL-0495(R)Pharmaron-2nd Batch,NIM1,MGC42105,0,1000
MEL-0495(R)Pharmaron-2nd Batch,NLK,NLK,36,1000
MEL-0495(R)Pharmaron-2nd Batch,OSR1,OXSR1,22,1000
MEL-0495(R)Pharmaron-2nd Batch,p38-alpha,MAPK14,31,1000
MEL-0495(R)Pharmaron-2nd Batch,p38-beta,MAPK11,29,1000
MEL-0495(R)Pharmaron-2nd Batch,p38-delta,MAPK13,28,1000
MEL-0495(R)Pharmaron-2nd Batch,p38-gamma,MAPK12,34,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK1,PAK1,77,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK2,PAK2,71,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK3,PAK3,41,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK4,PAK4,37,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK6,PAK6,21,1000
MEL-0495(R)Pharmaron-2nd Batch,PAK7,PAK7,47,1000
MEL-0495(R)Pharmaron-2nd Batch,PCTK1,CDK16,5,1000
MEL-0495(R)Pharmaron-2nd Batch,PCTK2,CDK17,24,1000
MEL-0495(R)Pharmaron-2nd Batch,PCTK3,CDK18,25,1000
MEL-0495(R)Pharmaron-2nd Batch,PDGFRA,PDGFRA,25,1000
MEL-0495(R)Pharmaron-2nd Batch,PDGFRB,PDGFRB,56,1000
MEL-0495(R)Pharmaron-2nd Batch,PDPK1,PDPK1,35,1000
MEL-0495(R)Pharmaron-2nd Batch,PFCDPK1(P.falciparum),CDPK1,94.9,1000
MEL-0495(R)Pharmaron-2nd Batch,PFPK5(P.falciparum),MAL13P1.279,45,1000
MEL-0495(R)Pharmaron-2nd Batch,PFTAIRE2,CDK15,37,1000
MEL-0495(R)Pharmaron-2nd Batch,PFTK1,CDK14,51,1000
MEL-0495(R)Pharmaron-2nd Batch,PHKG1,PHKG1,88,1000
MEL-0495(R)Pharmaron-2nd Batch,PHKG2,PHKG2,43,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3C2B,PIK3C2B,42,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3C2G,PIK3C2G,54,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA,PIK3CA,0,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(C420R),PIK3CA,4,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(E542K),PIK3CA,11,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(E545A),PIK3CA,22,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(E545K),PIK3CA,39,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(H1047L),PIK3CA,0,1000
MEL-0495(R)Pharmaron-2nd Batch,PIK3CA(H1047Y),PIK3CA,2,1000
